soru,cevap
"Saçlarımda dökülme başladı, tiroit problemi olabilir mi?","Saç dökülmesi, tiroit problemleri ile sıkça ilişkilidir. Tiroit testleri yaparak doğru teşhis için endokrinologdan yardım alabilirsiniz."
"Boynumda sürekli gerginlik var, bu stres mi?","Fiziksel Tıp ve Rehabilitasyon / Ortopedi"
"Göğsümde ağrı hissediyorum, kalp problemi olabilir mi?","Kardiyoloji"
"Gözümde bulanıklık var, bu görme problemi mi?","Göz Hastalıkları"
"Yutkunurken boğazımda ağrı hissediyorum, enfeksiyon olabilir mi?","Kulak Burun Boğaz"
"Bacaklarımda şişlik var, varis olabilir mi?","Kardiyoloji / Damar Cerrahisi"
"Karnımda gaz hissi var, bu sindirim sorunu olabilir mi?","Gastroenteroloji"
"Ağzımda yara var, bu herpes mi?","Diş Hekimliği / Ağız Diş ve Çene Cerrahisi"
"Saçım dökülüyor, stres mi neden oluyor?","Dermatoloji / Endokrinoloji"
"Yüksek ateşim var, grip mi oldum?","Enfeksiyon Hastalıkları"
"Başım dönüyor, denge problemi olabilir mi?","Nöroloji"
"Üst karın ağrısı çekiyorum, mide problemi olabilir mi?","Gastroenteroloji"
"Bacaklarımda ağrı ve şişlik var, damar sorunu olabilir mi?","Kardiyoloji / Damar Cerrahisi"
"İdrar yaparken yanma hissi var, idrar yolu enfeksiyonu olabilir mi?","Üroloji"
"El parmaklarımda uyuşma hissediyorum, sinir sıkışması olabilir mi?","Nöroloji"
"Karında şişkinlik ve ağrı hissediyorum, bağırsak problemi olabilir mi?","Gastroenteroloji"
"Sürekli halsiz hissediyorum, tiroit problemi olabilir mi?","Endokrinoloji"
"Yüksek tansiyonum var, kalp krizi riski taşıyor muyum?","Kardiyoloji"
"Uyuşma hissi ellerimde, sinir problemi mi var?","Nöroloji"
"Sürekli öksürüyorum, astım mı olabilir?","Göğüs Hastalıkları"
"Kaslarımda ağrı var, fibromyalji mi?","Fiziksel Tıp ve Rehabilitasyon"
"Derimde kaşıntı var, alerji olabilir mi?","Dermatoloji gidebilirsiniz"
"Belimde ağrı var, fıtık olabilir mi?","Ortopedi gidebilirsiniz"
"Başımın ön kısmında ağrı var, migren olabilir mi?","Nöroloji gidebilirsiniz"
"Yüzümde şişlik var, sinüs enfeksiyonu mu?","Kulak Burun Boğaz gidebilirsiniz"
"Yemek yerken zorlanıyorum, yutkunma güçlüğü mü?","Gastroenteroloji gidebilirsiniz"
"Vücudumda morluklar oluşuyor, pıhtılaşma sorunu olabilir mi?","Hematoloji gidebilirsiniz"
"Vücudumda döküntüler var, cilt hastalığı mı?","Dermatoloji gidebilirsiniz"
"Gece terlemeleri yaşıyorum, enfeksiyon mu?","Enfeksiyon Hastalıkları gidebilirsiniz"
"Ellerde titreme var, Parkinson hastalığı mı?","Nöroloji gidebilirsiniz"
"Boynumda sertlik hissediyorum, kas gerginliği mi?","Fiziksel Tıp ve Rehabilitasyon gidebilirsiniz"
"Vücudumda halsizlik ve baş ağrısı var, demir eksikliği olabilir mi?","İç Hastalıkları gidebilirsiniz"
"Vücudumda kaşıntı var, mantar enfeksiyonu olabilir mi?","Dermatoloji gidebilirsiniz"
"Vücudumda şişlik var, lenfoma olabilir mi?","Onkoloji gidebilirsiniz"
"Kulaklarımda çınlama var, işitme kaybı mı?","Kulak Burun Boğaz gidebilirsiniz"
"Çok fazla idrara çıkıyorum, şeker hastalığı olabilir mi?","Endokrinoloji gidebilirsiniz"
"Sağ gözümde ağrı var, glokom olabilir mi?","Göz Hastalıkları gidebilirsiniz"
"Sürekli başım ağrıyor, migren mi?","Nöroloji gidebilirsiniz"
"Karnımda ağrı var, apandisit olabilir mi?","Genel Cerrahi gidebilirsiniz"
"Sürekli burun akıntım var, sinüzit olabilir mi?","Kulak Burun Boğaz gidebilirsiniz"
"Sürekli soğuk hissediyorum, tiroit sorunları olabilir mi?","Endokrinoloji gidebilirsiniz"
"Vücudumda yanma hissi var, diyabet mi?","Endokrinoloji gidebilirsiniz"
"Vücudumda şişlik var, böbrek hastalığı mı?","Nefroloji gidebilirsiniz"
"Geceleri terliyorum, menopoz belirtileri olabilir mi?","Kadın Hastalıkları ve Doğum gidebilirsiniz"
"Çok fazla kusuyorum, mide ülseri olabilir mi?","Gastroenteroloji gidebilirsiniz"
"Sürekli yorgunum, depresyon mu?","Psikiyatri gidebilirsiniz"
"Sürekli kuru öksürük var, alerji olabilir mi?","Göğüs Hastalıkları gidebilirsiniz"
"Vücudumda ağrılar var, romatizma mı?","Rheumatoloji gidebilirsiniz"
"Boynumda ağrı var, sinir sıkışması mı?","Nöroloji gidebilirsiniz"
"Geceleri uyurken nefes darlığı yaşıyorum, uyku apnesi mi?","Göğüs Hastalıkları gidebilirsiniz"
"Yüzümde kızarıklık var, rosacea olabilir mi?","Dermatoloji gidebilirsiniz"
"Yorgunluk hissediyorum, adrenal yorgunluk olabilir mi?","Endokrinoloji gidebilirsiniz"
"Karnımda şişlik ve bulantı var, bağırsak sorunu olabilir mi?","Gastroenteroloji gidebilirsiniz"
"Yavaş yara iyileşmesi yaşıyorum, bağışıklık sorunu olabilir mi?","İmmünoloji gidebilirsiniz"
"Belimde sürekli ağrı var, disk hernisi mi?","Ortopedi gidebilirsiniz"
"Kafamda darbe aldım, beyin sarsıntısı mı?","Nöroloji gidebilirsiniz"
"Yorgun hissediyorum, demir eksikliği olabilir mi?","İç Hastalıkları gidebilirsiniz"
"Boğazımda gıcıklanma var, enfeksiyon mu?","Kulak Burun Boğaz gidebilirsiniz"
"Sürekli ağız kuruluğu yaşıyorum, diyabet mi?","Endokrinoloji gidebilirsiniz"
"Vücudumda titreme var, vitamin eksikliği olabilir mi?","İç Hastalıkları gidebilirsiniz"
"Yüzümde şişlik var, göz enfeksiyonu olabilir mi?","Göz Hastalıkları gidebilirsiniz"
"Yutkunmada zorlanıyorum, boğaz enfeksiyonu mu?","Kulak Burun Boğaz gidebilirsiniz"
"Saç dökülmesi yaşıyorum, tiroit sorunu olabilir mi?","Dermatoloji / Endokrinoloji gidebilirsiniz"
"Vücudumda karıncalanma hissi var, sinir sistemi problemi olabilir mi?","Nöroloji gidebilirsiniz"
"Sürekli mide bulantısı hissediyorum, mide problemi mi?","Gastroenteroloji gidebilirsiniz"
"Yüksek ateş ve titreme var, enfeksiyon olabilir mi?","Enfeksiyon Hastalıkları gidebilirsiniz"
"Çok terliyorum, tiroit sorunları olabilir mi?","Endokrinoloji gidebilirsiniz"
"Yorgunluk ve uyku hali var, depresyon mu?","Psikiyatri gidebilirsiniz"
"Vücudumda ağrılar var, kas hastalığı mı?","Fiziksel Tıp ve Rehabilitasyon gidebilirsiniz"
"Yemek sonrasında mide yanması hissediyorum, asidik mi?","Gastroenteroloji gidebilirsiniz"
"Sürekli baş dönmesi yaşıyorum, iç kulak problemi mi?","Nöroloji gidebilirsiniz"
"Sürekli şişkinlik hissediyorum, gaz problemi mi?","Gastroenteroloji gidebilirsiniz"
"Karın sağ tarafımda ağrı var, safra kesesi problemi olabilir mi?","Genel Cerrahi gidebilirsiniz"
"Sürekli halsizim, B12 eksikliği olabilir mi?","İç Hastalıkları gidebilirsiniz"
"Bütün vücudumda ağrı var, grip mi oldum?","İç Hastalıkları gidebilirsiniz"
"Saç dökülmesi yaşıyorum, stres kaynaklı olabilir mi?","Dermatoloji gidebilirsiniz"
"Göğsümde sıkışma hissi var, kalp krizi mi?","Kardiyoloji gidebilirsiniz"
"Boynumda şişlik var, lenfoma olabilir mi?","Onkoloji gidebilirsiniz"
"Karımda şişlik var, kadın hastalıkları mı?","Kadın Hastalıkları ve Doğum gidebilirsiniz"
"Gece uykuda horlama var, uyku apnesi mi?","Göğüs Hastalıkları gidebilirsiniz"
"Kanama var, hematolojik sorunlar olabilir mi?","Hematoloji gidebilirsiniz"
"Bağışıklık sistemi ile ilgili bir problemim mi var?","İmmünoloji gidebilirsiniz"
"Vücudumda şişlik ve ağrı var, artrit mi?","Rheumatoloji gidebilirsiniz"
"Çok fazla idrara çıkıyorum, prostat sorunu olabilir mi?","Üroloji gidebilirsiniz"
"Sürekli gergin hissediyorum, stres mi?","Psikiyatri gidebilirsiniz"
"Yorgunluk ve halsizlik var, vitamin eksikliği mi?","İç Hastalıkları gidebilirsiniz"
"Yüksek tansiyonum var, ilaçlara ihtiyacım var mı?","Kardiyoloji gidebilirsiniz"
"Vücudumda ağrılar var, romatizma olabilir mi?","Rheumatoloji gidebilirsiniz"
"Çok soğuk hissediyorum, kan şekerim düşük olabilir mi?","Endokrinoloji gidebilirsiniz"
"Dahiliye polikliniği nerede?","Dahiliye polikliniği, genel iç hastalıkları ve kronik hastalıklar için hastanemizin 2. katında yer almaktadır."
"Dahiliye polikliniğine nasıl başvurabilirim?","Yüksek tansiyon, şeker hastalığı, halsizlik veya diğer genel sağlık sorunları için dahiliye polikliniğimize başvurabilirsiniz."
"Kardiyoloji polikliniği nerede?","Kalp ve damar hastalıkları tedavisi için kardiyoloji polikliniği, hastanemizin 3. katında yer almaktadır."
"Kardiyoloji polikliniğine hangi durumlarla başvurulabilir?","Kalp çarpıntısı, göğüs ağrısı, yüksek tansiyon gibi kalp rahatsızlıklarınız için kardiyoloji polikliniğine başvurabilirsiniz."
"Gastroenteroloji polikliniği nerede?","Sindirim sistemi rahatsızlıkları için gastroenteroloji polikliniği, hastanemizin 4. katında yer almaktadır."
"Gastroenteroloji polikliniğine hangi şikayetlerle başvurulabilir?","Mide ağrıları, karın şişliği, sindirim sorunları gibi şikayetler için gastroenteroloji polikliniğine başvurabilirsiniz."
"Kadın hastalıkları ve doğum polikliniği nerede?","Kadın sağlığı ve doğum ile ilgili tedaviler için kadın hastalıkları ve doğum polikliniği, hastanemizin 5. katında yer almaktadır."
"Kadın hastalıkları ve doğum polikliniğine hangi durumlarla başvurulabilir?","Adet düzensizlikleri, hamilelik takibi, doğum öncesi ve sonrası hizmetler için başvurabilirsiniz."
"Çocuk sağlığı polikliniği nerede?","Çocuk sağlığı ve hastalıkları polikliniği, çocukların sağlık hizmetlerini sunduğumuz hastanemizin 6. katında yer almaktadır."
"Çocuk sağlığı polikliniğine nasıl başvurabilirim?","Çocuklarınızda ateş, öksürük, büyüme geriliği veya gelişimsel sorunlar varsa pediatri polikliniğimize başvurabilirsiniz."
"Kulak burun boğaz polikliniği nerede?","Kulak burun boğaz hastalıkları için KBB polikliniği, hastanemizin 2. katında yer almaktadır."
"Kulak burun boğaz polikliniğine nasıl başvurabilirim?","Kulak ağrıları, burun tıkanıklığı, sinüs problemleri ve boğaz ağrıları için KBB polikliniğimize başvurabilirsiniz."
"Göz hastalıkları polikliniği nerede?","Göz sağlığı ve tedavisi için göz hastalıkları polikliniği, hastanemizin 4. katında yer almaktadır."
"Göz hastalıkları polikliniğine hangi durumlarla başvurulabilir?","Görme bozuklukları, göz ağrıları, kızarıklık veya gözde yabancı cisim hissiyle göz polikliniğimize başvurabilirsiniz."
"Ortopedi polikliniği nerede?","Ortopedi ve travmatoloji tedavileri için ortopedi polikliniği, hastanemizin 3. katında yer almaktadır."
"Ortopedi polikliniğine hangi şikayetlerle başvurulabilir?","Kemik kırıkları, eklem ağrıları, bel ve boyun fıtığı gibi sorunlarla ortopedi polikliniğimize başvurabilirsiniz."
"Nöroloji polikliniği nerede?","Sinir sistemi hastalıkları için nöroloji polikliniği, hastanemizin 5. katında yer almaktadır."
"Nöroloji polikliniğine nasıl başvurabilirim?","Baş ağrıları, baş dönmesi, kas spazmları veya nörolojik bozukluklar için nöroloji polikliniğine başvurabilirsiniz."
"Cildiye polikliniği nerede?","Cilt hastalıkları tedavisi için dermatoloji polikliniği, hastanemizin 7. katında yer almaktadır."
"Cildiye polikliniğine hangi durumlarla başvurulabilir?","Ciltte kızarıklık, döküntüler, kaşıntılar veya akne gibi şikayetler için cildiye polikliniğimize başvurabilirsiniz."
"Psikiyatri polikliniği nerede?","Psikolojik sağlık desteği için psikiyatri polikliniği, hastanemizin 1. katında yer almaktadır."
"Psikiyatri polikliniğine nasıl başvurabilirim?","Depresyon, kaygı bozuklukları, uyku sorunları gibi psikolojik rahatsızlıklar için psikiyatri polikliniğine başvurabilirsiniz."
"Üroloji polikliniği nerede?","Üroloji polikliniği, idrar yolu hastalıkları ve erkek sağlığı tedavisi için hastanemizin 6. katında yer almaktadır."
"Üroloji polikliniğine hangi şikayetlerle başvurulabilir?","İdrar yolu enfeksiyonları, prostat sorunları ve ereksiyon problemleri gibi ürolojik hastalıklar için başvurabilirsiniz."
"Fiziksel tıp ve rehabilitasyon polikliniği nerede?","Fiziksel tıp ve rehabilitasyon polikliniği, kas ve eklem tedavisi için hastanemizin 8. katında yer almaktadır."
"Fiziksel tıp ve rehabilitasyon polikliniğine nasıl başvurabilirim?","Bel, boyun ağrıları, eklem sorunları ve fiziksel rehabilitasyon ihtiyaçları için fiziksel tıp polikliniğine başvurabilirsiniz."
"Endokrinoloji polikliniği nerede?","Endokrinolojik sorunlar, hormon bozuklukları ve metabolizma hastalıkları için endokrinoloji polikliniği, hastanemizin 2. katında yer almaktadır."
"Endokrinoloji polikliniğine nasıl başvurabilirim?","Tiroit hastalıkları, şeker hastalığı, kilo problemleri gibi durumlarla endokrinoloji polikliniğine başvurabilirsiniz."
"Hematoloji polikliniği nerede?","Kan hastalıkları ve kanser tedavisi için hematoloji polikliniği, hastanemizin 4. katında yer almaktadır."
"Hematoloji polikliniğine nasıl başvurabilirim?","Kanamalar, kansızlık, kanser tedavisi gibi sorunlar için hematoloji polikliniğine başvurabilirsiniz."
"Onkoloji polikliniği nerede?","Kanser tedavisi ve kemoterapi uygulamaları için onkoloji polikliniği, hastanemizin 5. katında yer almaktadır."
"Onkoloji polikliniğine nasıl başvurabilirim?","Kanser tedavisi, kemoterapi ve kanser takibi için onkoloji polikliniğine başvurabilirsiniz."
"Göğüs hastalıkları polikliniği nerede?","Solunum yolu hastalıkları ve akciğer sorunları için göğüs hastalıkları polikliniği, hastanemizin 6. katında yer almaktadır."
"Göğüs hastalıkları polikliniğine nasıl başvurabilirim?","Astım, bronşit, zatürre gibi solunum hastalıklarıyla göğüs hastalıkları polikliniğine başvurabilirsiniz."
"Enfeksiyon hastalıkları polikliniği nerede?","Enfeksiyon hastalıkları tedavisi ve mikrobiyolojik testler için enfeksiyon hastalıkları polikliniği, hastanemizin 7. katında yer almaktadır."
"Enfeksiyon hastalıkları polikliniğine hangi durumlar için başvurulabilir?","Ateş, grip, soğuk algınlığı gibi virüs enfeksiyonları için enfeksiyon hastalıkları polikliniğine başvurabilirsiniz."
"Ruh sağlığı ve psikoterapi polikliniği nerede?","Ruh sağlığı ve terapi hizmetleri için psikoterapi polikliniği, hastanemizin 3. katında yer almaktadır."
"Ruh sağlığı ve psikoterapi polikliniğine nasıl başvurabilirim?","Depresyon, anksiyete bozukluğu, travma sonrası stres gibi psikolojik destek ihtiyaçlarınız için psikoterapi polikliniğine başvurabilirsiniz."
"Allerji ve immünoloji polikliniği nerede?","Alerji hastalıkları ve bağışıklık sistemi problemleri için allerji ve immünoloji polikliniği, hastanemizin 5. katında yer almaktadır."
"Allerji ve immünoloji polikliniğine nasıl başvurabilirim?","Alerjik reaksiyonlar, astım ve bağışıklık sistemine bağlı rahatsızlıklar için allerji polikliniğine başvurabilirsiniz."
"Plastik cerrahi polikliniği nerede?","Estetik ve rekonstrüktif cerrahi için plastik cerrahi polikliniği, hastanemizin 8. katında yer almaktadır."
"Plastik cerrahi polikliniğine nasıl başvurabilirim?","Yüz estetiği, deri nakli ve yanık tedavisi gibi plastik cerrahi işlemler için polikliniğimize başvurabilirsiniz."
"Nefroloji polikliniği nerede?","Böbrek hastalıkları tedavisi için nefroloji polikliniği, hastanemizin 2. katında yer almaktadır."
"Nefroloji polikliniğine hangi durumlarla başvurulabilir?","Böbrek taşı, idrar yolu sorunları veya böbrek yetmezliği gibi durumlar için nefroloji polikliniğine başvurabilirsiniz."
"Güvenliğe nasıl ulaşabilirim?","Hastanenin her katında güvenlik görevlisi bulunmaktadır. Güvenlik birimine, girişteki güvenlik noktalarından ya da hastane girişinden ulaşabilirsiniz."
"Temizlik görevlisine nasıl ulaşabilirim?","Temizlik hizmetleriyle ilgili taleplerinizi hastane resepsiyonuna iletebilir ya da bulunduğunuz katın temizlik görevlisi ile iletişime geçebilirsiniz."
"Hemşireye nasıl ulaşabilirim?","Hastanedeki her odada bir hemşire çağrı sistemi bulunmaktadır. Ayrıca, hemşireye ulaşmak için hastane katlarındaki hemşire istasyonlarını ziyaret edebilirsiniz."
"Bir ebelere nasıl ulaşabilirim?","Ebelere ulaşmak için kadın hastalıkları ve doğum polikliniğine başvurabilir veya doğum servisindeki ebe görevlilerinden yardım alabilirsiniz."
"Bir doktorla nasıl görüşebilirim?","Doktorunuzla görüşmek için hastanede kayıtlı olduğunuz polikliniğe başvurabilir veya hastane sekreterliğinden randevu talep edebilirsiniz."
"Rehberlik hizmeti almak için nereye başvurabilirim?","Rehberlik ve danışmanlık hizmetleri için hastanenin giriş katındaki danışma noktasına başvurabilirsiniz."
"Acile nasıl başvurabilirim?","Acil bir durumda, hastanenin giriş katındaki acil servise doğrudan başvurabilirsiniz."
"Psikolojik destek almak için nereye başvurabilirim?","Psikiyatri polikliniği ve ruh sağlığı destek hizmetleri için hastanenin 1. katındaki psikiyatri bölümüne başvurabilirsiniz."
"Yataklı hizmet almak için nasıl başvurabilirim?","Yataklı tedavi ihtiyacı için hastaneye yatış işlemleri yapılabilir. Resepsiyon veya ilgili poliklinikten bilgi alabilirsiniz."
"Fizyoterapist ile nasıl iletişim kurabilirim?","Fizyoterapi ve rehabilitasyon hizmetleri için hastanenin 8. katındaki fiziksel tıp ve rehabilitasyon polikliniğine başvurabilirsiniz."
"Röntgen hizmetlerine nasıl başvurabilirim?","Röntgen çekimi için ilgili doktorunuzdan yönlendirme alabilir veya hastanenin 3. katındaki röntgen bölümüne başvurabilirsiniz."
"Kan tahlilini nasıl yaptırabilirim?","Kan tahlilleri için hastanenin laboratuvarına başvurabilir ya da doktorunuzun verdiği referansla tahlil işlemi gerçekleştirebilirsiniz."
"Yatakhane hizmeti hakkında bilgi almak için nereye başvurabilirim?","Yatakhane hizmetleri hakkında bilgi almak için hastanenin giriş katındaki hasta kabul birimine başvurabilirsiniz."
"Yemek hizmetlerinden nasıl faydalanabilirim?","Hastanede yemek hizmetleri genellikle yataklı tedavi gören hastalara yöneliktir. Detaylı bilgi için hastane yemek servisinden veya hasta hizmetlerinden bilgi alabilirsiniz."
"Posta ve evrak işlerini nasıl takip edebilirim?","Posta ve evrak işleri için hastanenin sekreterlik veya yönetim birimine başvurabilirsiniz."
"Park yerleri hakkında nasıl bilgi alabilirim?","Hastanenin otopark alanları, giriş katında ve yakın çevresinde yer almaktadır. Park yeri durumu hakkında hastane güvenliği ya da resepsiyon size yardımcı olabilir."
"Laboratuvar sonuçlarını nasıl alabilirim?","Laboratuvar sonuçlarınızı hastanenin laboratuvar bölümünden ya da doktorunuzdan öğrenebilirsiniz."
"İlaç temini için nasıl başvurabilirim?","Reçeteli ilaçlar için hastane eczanesine başvurabilir veya ilgili doktorunuzun önerdiği eczaneden ilaç temin edebilirsiniz."
"Telefonla hastane ile nasıl iletişime geçebilirim?","Hastane merkezi telefon numarasından veya polikliniklerin direkt hatlarından istediğiniz bölümle iletişime geçebilirsiniz."
"Doktor randevusunu nasıl iptal edebilirim?","Doktor randevusunu iptal etmek için hastanenin randevu birimine telefon edebilir veya hastane web sitesinden iptal işlemi gerçekleştirebilirsiniz."
"Odama su veya ihtiyaç malzemesi talep etmek için nasıl iletişime geçebilirim?","Odadan ihtiyaç taleplerinizi hemşirenize iletebilir ya da odanızda bulunan çağrı butonunu kullanabilirsiniz."
"Acil servis için ne zaman başvurmalıyım?","Acil servis, hayati tehlike taşıyan veya ciddi sağlık sorunları yaşayan hastalar için uygundur. Yüksek ateş, bilinç kaybı, ciddi yaralanmalar gibi durumlarda acil servise başvurmalısınız."
"Doktorlar ile bilgi paylaşımı yapmak için nasıl iletişim kurabilirim?","Doktorunuzla daha detaylı bilgi paylaşmak için, randevu saatinde ya da ilgili poliklinikte görüşme yapabilirsiniz."
"Hastanede kaybolan eşyalar için nasıl bir işlem yapılır?","Hastanede kaybolan eşyalarla ilgili kayıp eşya birimine başvurabilirsiniz. Birim, kayıp eşyalarınızı bulmak için gerekli işlemleri yapacaktır."
"Fiziksel terapi için ne zaman randevu alabilirim?","Fiziksel terapi ve rehabilitasyon randevusu almak için hastanenin fiziksel tıp bölümüne başvurabilirsiniz."
"Ücretsiz hizmetlerden nasıl faydalanabilirim?","Hastanenin sunduğu ücretsiz hizmetler hakkında bilgi almak için hastane resepsiyonuna ya da hasta hakları birimine başvurabilirsiniz."
"Özel odada kalmak için nasıl başvurabilirim?","Özel oda talebi için hastanenin hasta kabul birimiyle iletişime geçebilir ya da randevu aldığınız poliklinikten bilgi alabilirsiniz."
"Diğer hastalar hakkında bilgi almak için kime başvurabilirim?","Diğer hastalar hakkında bilgi almak için hasta hakları birimi ya da ilgili doktor ve hemşirelere danışabilirsiniz."

